rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
770,632,8,4,0.6,2,0.03,0.3,-16.78024409,8321.97559075,-16.7838115,4708,1785.86287422,-0.28691505,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
771,474,8,2.5,0.6,2,0.08,0.3,-16.80562624,8319.4373761,-16.81372435,3757,1813.62504431,-0.27721051,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
772,276,5,3,0.4,2,0.08,0.3,-16.80642599,8319.35740117,-16.81359007,3621,1716.34286198,-0.27566959,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
773,530,8,3,0.6,3,0.03,0.3,-16.81802555,8318.19744548,-16.82436125,4581,1776.37241957,-0.28453804,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
774,318,5,3,0.6,3,0.08,0.3,-16.83481827,8316.51817262,-16.84565348,3235,1532.78048485,-0.26422392,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
775,222,5,2.5,0.4,2,0.08,0.3,-16.85455021,8314.54497875,-16.86171015,3816,1819.23401818,-0.27860947,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
776,112,3,3.5,0.4,2,0.05,0.3,-16.85520792,8314.47920814,-16.93736568,3864,1678.95809124,-0.29335141,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
777,758,13,3.5,0.4,2,0.03,0.3,-16.88543836,8311.45616435,-16.89246485,4637,1783.64111111,-0.30879495,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
778,848,13,4,0.6,2,0.03,0.3,-16.89773418,8310.22658217,-16.94034295,4382,1619.58891317,-0.30721826,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
779,246,5,2.5,0.5,3,0.08,0.3,-16.90879442,8309.12055783,-16.90879442,3245,1554.38470955,-0.26429182,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
780,48,3,2.5,0.6,3,0.08,0.3,-16.90971535,8309.02846526,-16.90989882,3379,1613.35328166,-0.27888375,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
781,314,5,3,0.6,3,0.03,0.3,-16.94137977,8305.86202314,-16.94735868,4451,1821.43002996,-0.28248679,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
782,316,5,3,0.6,3,0.05,0.3,-16.9456835,8305.43164972,-16.95274534,3690,1611.84087038,-0.2887886,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
783,542,8,3.5,0.4,2,0.03,0.3,-16.96852397,8303.14760309,-16.97120541,4815,1853.29023352,-0.28506623,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
