rank,run_id,max_abs_weight,volume_lookback,spike_multiplier,volume_drop_ratio,pullback_tolerance_pct,breakout_buffer_pct,step_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
183,896,1,5,4,0.35,0.3,0.05,0.2,-0.69885031,9930.11496868,-1.40513726,121,122.87416935,-0.01095558,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
184,943,1,5,4,0.5,0.8,0.1,0.1,-0.70236647,9929.7633529,-1.13818321,129,66.38358276,-0.02132787,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
185,887,1,5,3,0.65,0.8,0.05,0.2,-0.70781489,9929.21851054,-1.7252983,183,180.84543987,-0.00906568,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
186,934,1,5,4,0.5,0.5,0.1,0.1,-0.72189749,9927.81025129,-1.18474023,127,65.57404809,-0.02118055,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
187,905,1,5,4,0.35,0.5,0.05,0.2,-0.72760105,9927.23989465,-1.11912429,125,126.06044752,-0.01186109,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
188,874,1,5,3,0.65,0.5,0,0.1,-0.72927407,9927.07259302,-0.90424085,204,107.28916295,-0.02001186,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
189,631,1,3,4,0.65,0.5,0,0.1,-0.73556865,9926.44313483,-1.23644016,179,93.51737852,-0.02155556,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
190,640,1,3,4,0.65,0.8,0,0.1,-0.73556865,9926.44313483,-1.23644016,179,93.51737852,-0.02155556,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
191,1250,1,8,4,0.5,0.3,0.1,0.2,-0.73690485,9926.30951455,-1.5867369,104,91.16714569,-0.01498544,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
192,1172,1,8,3,0.5,0.5,0,0.2,-0.74247404,9925.75259648,-1.54162086,167,176.47024139,-0.01288461,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
193,1290,1,8,4,0.65,0.8,0,0.3,-0.74357868,9925.64213176,-1.85416745,127,179.43023048,-0.00866046,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
194,1254,1,8,4,0.5,0.5,0,0.3,-0.7504381,9924.95619003,-1.73842073,121,182.06086626,-0.00899456,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
195,1139,1,8,3,0.35,0.3,0.05,0.2,-0.75214936,9924.7850641,-1.84446431,138,121.09308406,-0.01040028,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
196,883,1,5,3,0.65,0.8,0,0.1,-0.75309525,9924.69047547,-0.90424085,205,108.06362884,-0.02048171,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
197,1177,1,8,3,0.5,0.5,0.1,0.1,-0.76309348,9923.6906515,-1.16197021,148,68.7261966,-0.0262679,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
198,848,1,5,3,0.5,0.5,0,0.2,-0.77324156,9922.67584435,-1.23190536,192,198.88535779,-0.01116623,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
199,932,1,5,4,0.5,0.5,0.05,0.2,-0.78279024,9921.72097579,-1.61062867,133,138.95789288,-0.01378886,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
200,1198,1,8,3,0.65,0.5,0,0.1,-0.7875915,9921.24084994,-1.12854663,180,94.65910928,-0.02401038,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
201,941,1,5,4,0.5,0.8,0.05,0.2,-0.78799457,9921.20054307,-1.63369267,136,142.15108727,-0.0138171,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
202,823,1,5,3,0.35,0.5,0.05,0.1,-0.79530886,9920.46911357,-1.49698105,172,89.44760692,-0.0154802,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
203,821,1,5,3,0.35,0.5,0,0.2,-0.80665943,9919.33405685,-1.7757996,182,186.10261528,-0.01078755,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
204,952,1,5,4,0.65,0.3,0.1,0.1,-0.81247565,9918.75243497,-1.17562779,130,66.35523751,-0.02458964,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
205,842,1,5,3,0.5,0.3,0.05,0.2,-0.81656069,9918.34393109,-1.94421569,174,177.81923406,-0.01075016,1441,2026-07-05T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-volume-follow,mainnet,HYPE,1m,10000.0
