rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,min_price_move_pct,cooldown_bars,max_hold_bars,stop_loss_pct,take_profit_pct,max_trades_per_day,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
86,584,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,1.2,60,-0.51065394,9948.93460576,-0.58585126,363,60.75236479,-0.0340592,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
87,585,13,3,0.4,4,0.03,0.3,0.1,10,60,0.5,1.2,100,-0.51065394,9948.93460576,-0.58585126,363,60.75236479,-0.0340592,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
88,408,13,3,0.4,4,0.03,0.3,0.05,20,60,0.3,0.4,100,-0.51357567,9948.64243317,-0.6074763,563,86.24225295,-0.053465,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
89,481,13,3,0.4,4,0.03,0.3,0.05,20,240,0.8,0.8,30,-0.51515839,9948.48416138,-0.65761452,446,91.60807233,-0.03959469,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
90,589,13,3,0.4,4,0.03,0.3,0.1,10,60,0.8,0.8,30,-0.51659683,9948.34031745,-0.59142864,292,49.7880979,-0.04330387,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
91,532,13,3,0.4,4,0.03,0.3,0.1,5,120,0.8,0.4,30,-0.51731352,9948.2686484,-0.58908062,292,53.38021347,-0.02920337,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
92,656,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,1.2,60,-0.51782935,9948.21706522,-0.53257146,279,38.54461661,-0.05188506,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
93,657,13,3,0.4,4,0.03,0.3,0.1,20,60,0.3,1.2,100,-0.51782935,9948.21706522,-0.53257146,279,38.54461661,-0.05188506,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
94,713,13,3,0.4,4,0.03,0.3,0.1,20,240,0.5,0.4,60,-0.51809361,9948.19063863,-0.5293284,279,40.09841925,-0.04864661,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
95,714,13,3,0.4,4,0.03,0.3,0.1,20,240,0.5,0.4,100,-0.51809361,9948.19063863,-0.5293284,279,40.09841925,-0.04864661,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
