rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
273,797,13,3.5,0.6,2,0.08,0.15,-0.27026322,9972.97367752,-1.32167195,366,110.80602537,-0.00468068,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
274,699,13,2.5,0.6,4,0.05,0.15,-0.28551609,9971.4483912,-0.87437589,609,121.90731484,-0.00545309,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
275,863,13,4,0.6,4,0.08,0.15,-0.28711496,9971.28850447,-1.16287442,303,91.58581015,-0.00494324,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
276,301,5,3,0.5,4,0.03,0.15,-0.28984609,9971.01539121,-0.59366659,754,90.4533781,-0.00620352,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
277,571,8,3.5,0.5,4,0.03,0.15,-0.29039775,9970.96022486,-0.79250097,672,80.7133275,-0.00557999,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
278,719,13,3,0.4,4,0.08,0.15,-0.2907783,9970.92217038,-0.93917317,334,101.19856059,-0.00502441,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
279,727,13,3,0.5,3,0.03,0.15,-0.29643401,9970.35659933,-0.67956184,765,91.88119908,-0.0057461,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
280,118,3,3.5,0.4,3,0.05,0.3,-0.30220735,9969.77926462,-1.53131254,817,163.84022587,-0.00317693,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
281,718,13,3,0.4,4,0.05,0.3,-0.30226253,9969.77374675,-1.15501757,730,146.18332756,-0.00299045,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
282,344,5,3.5,0.5,2,0.03,0.3,-0.30795844,9969.2041561,-1.61548331,1154,136.50235594,-0.00310024,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
283,335,5,3.5,0.4,3,0.08,0.15,-0.31167876,9968.83212415,-1.4942896,396,120.60504329,-0.0055491,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
284,343,5,3.5,0.5,2,0.03,0.15,-0.3128732,9968.71268009,-1.15075049,809,96.98504888,-0.00601287,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
285,842,13,4,0.5,4,0.03,0.3,-0.31477841,9968.52215948,-1.55117896,931,110.32329014,-0.00311538,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
286,717,13,3,0.4,4,0.05,0.15,-0.31509221,9968.49077918,-0.79778228,463,92.66204772,-0.00572276,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
287,174,3,4,0.4,3,0.08,0.3,-0.3208068,9967.91932022,-2.39978631,628,194.63731846,-0.00308062,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
288,294,5,3,0.5,2,0.08,0.3,-0.32287172,9967.71282823,-2.29783047,810,249.84869425,-0.00302986,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
289,535,8,3,0.6,4,0.03,0.15,-0.32374927,9967.62507291,-1.09313142,789,94.7649514,-0.00661947,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
290,493,8,3,0.4,3,0.03,0.15,-0.32534361,9967.46563915,-0.72019986,781,93.62612754,-0.00643528,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
291,701,13,2.5,0.6,4,0.08,0.15,-0.32534627,9967.46537251,-1.08821187,448,135.90126413,-0.00594288,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
292,417,5,4,0.6,2,0.05,0.15,-0.32583399,9967.41660136,-1.08446,537,107.48545461,-0.0059213,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
293,291,5,3,0.5,2,0.05,0.15,-0.32589228,9967.4107721,-1.24825229,677,135.49365866,-0.00613718,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
294,67,3,3,0.4,4,0.03,0.15,-0.32631477,9967.36852301,-0.65154465,637,76.33295224,-0.00698086,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
295,537,8,3,0.6,4,0.05,0.15,-0.32743526,9967.25647372,-1.24542592,607,121.60150489,-0.0061178,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
296,626,8,4,0.5,4,0.03,0.3,-0.3377572,9966.22428044,-1.71797423,909,108.0726004,-0.00331686,4321,2026-07-03T06:28:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,HYPE,1m,10000.0
